lzh9102/qrcode-desktop
airminer/MokaPot
eliasbaixas/bamboo
reelyactive/ble-android-sdk
kicsikrumpli/mdwiki
aastle/fittimer
rmagen/elastic-gremlin
lakshminarayanar/DBLogging_JPA
sohamm17/MapsTraffic
AranyaLi/ToSuccess
guardianproject/OtRChat
Dynious/Biota
Maddoc42/JaxRs2Retrofit
LaBrush/SIRescue
Swrve/rate-limited-logger
Equinox-/LWJGL-Framework
uniba-dsg/BPMNspector
ldionmarcil/OSRSHelper
joeybronner/FreeHandTwitter
timboudreau/scamper-chat
littlestudy/hprj
pyvandenbussche/lovScripts
stevespringett/dependency-check-sonar-plugin
khaosans/Vargus
cricket007/CardsOfDiscord
dinosaurwithakatana/Reactor
DaFlight/DaFlightCommon
swim1989/Med4
Kotobaminers/VirtualRyuugaku2
syakuis/Spring-security-restful-authentication-and-Angularjs
a-paxton/PsyGlass
InViN/SimilarMovies
travisdazell/cerium-programming-language
diegoponciano/biblia-ccb
maxmememax/EasyTV
qbicsoftware/qwizard
OneAcutionTeam/OneAcution
xNovax/Multiplication_Dungeon
Ivonhoe/ivonhoe_android_support
sshling/mybatis
rapidpro/mage
maxamillion40/WikiBots-in-Java
harmeetsingh0013/Spring-Data-Neo4j-Example
felit/drools-study
iShamrock/Postal
rabbitfighter81/SimpleJOGLGame
hkkenneth/charity-android
j4velin/chess
Ipsis/Wini
thm-projects/arsnova-lms-connector
dominicthomas/FlikrGridRecyclerView
trongtt/POCs
ReadyTalk/cultivar
JaimeIvanCervantes/senseamp
maclomork/qda-parser
VikeStep/sprinkles_for_vanilla
vedhavyas/JaagrT
andersonolisilva/lojarapidaweb
kaaterskil/laxstats
thespianartist/PreLollipopMaterialDesign
ming030890/Eng-Chi-Dictionary
customweb/jtwig-lib
A-pZ/lumi
MCME/EnforcerSuite
nayuki/Native-hashes-for-Java
konik32/openrest
biezhi/swing-generate
a396901990/CardView_AutoLayout
LedgerHQ/btchipJC
rvs-fluid-it/mvn-fluid-cd
FuriousCatInteractive/AlektoroZombie
mgormley/prim
TheKTeam/-InternetBank
meltmedia/dropwizard-crypto
enricocid/lffl-feed-reader
groupdocs/groupdocs-signature-java-dropwizard-sample
erenyagdiran/GraphSolver
rdgmus/Luxemburg
MelpoJason/WorkWithME_v19
maxouille/ShortStraw
Markusmoo/SimpleGameEngine
xuyunfeng1202/DotnoteIBIS
PanierAvide/BasicOSMParser
boxme/AllAboutListView
hudson2-plugins/MKS-Integrity-Plugin
AdapTeach/code-assesser-java
lane-cn/getty
SadSpoon/Bomberman
ManuelB/gengo-webcrawler
jsmove/canvas-app
indeedeng/iql
jordaniellis/Blot
lukz/LibGDX-Game-Template
adelyounes/Tutorial-SMB2014-and-Wiki
jinopark/sms
flammpfeil/FluidLinkTank
angelazarquiel/programacion14
snicoll/presos
dan-zx/gray-fox-server
talenguyen/PrettySharedPreferences
aerospike/aerospike-hadoop
PapayaCarlos/CreativePhilosophySici
lahuman/SpringBoot.Sample
Weswit/Lightstreamer-example-AdvStockList-client-android
venmo/android-pin
markoradinovic/suggestfield
jurem/SicTools
yanirta/applitools.examples
quaggaman555555/Elementals
BlurayDisc/Sangokushi
MelissaLobo/blogComJSF
NikolaDimitroff/DSA-Demo-Library
hypery2k/galen_samples
kovertopz/Framework-GL
project-flink/flink-graph
mattyb149/pdi-zookeeper
KultidGames/Salems-Lot
wanswings/TextFileXpanderAndroid
etdev/algorithms
JacpFX/JacpFX-demos
GRM-Group/Rise-of-Tristram
LSIR/StateFinder
Team-One-GGC/D2L-Quiz-Creator
ndexbio/ndex-object-model
ndexbio/ndex-cy-app
aboudalia/Teamivore
ckatzorke/dvdprofiler-mvc
VaclavDedik/planning-poker-plugin
ToxicBakery/BikeOrlando
infobyte/pictureme
CaoYouXin/test0
cqxmzz/fatworm-database
priyankanaik26/Blog-It
manmadeofmayo/Bumba-Velocity-Database-Helper
hilburn/Blackout
wburhan2/TodayInTech
tomcashman/metrics-elasticsearch
bendem/BrickBreakerGameTest
ttallentire/Android
bio4j/angulillos-titan
pricindalas/GPXTracker
mikkelam/cecs429proj
mariotaku/SimpleCameraLibrary
pakoito/CardGameFramework
ge0ffrey/vrp-dataset-generator
waicool20/CPU
SpringOne2GX-2014/reactive-geocoder
jalfsoftware/jalf
shou3301/Finance
ksamykandil/JavaRepository
kcrt/auEmojiMushroom
kukelekuuk00/CactusChat2
fusepoolP3/p3-silkdedup
gamesbykevin/Daedalian-Opus
mick88/panoramio
mmounirou/commons-vfs-git
