Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
aastle_fittimer,com.aastle.fittimer,StopWatch,StopWatch,3,1,1
aastle_fittimer,com.aastle.fittimer,StopWatch,StopWatch,3,1,2
aastle_fittimer,com.aastle.fittimer,StopWatch,init,4,1,1
aastle_fittimer,com.aastle.fittimer,StopWatch,getTime,8,2,0
aastle_fittimer,com.aastle.fittimer,StopWatch,setTime,6,1,1
aastle_fittimer,com.aastle.fittimer,StopWatch,startClock,13,3,0
aastle_fittimer,com.aastle.fittimer,StopWatch,getRestoreTime,3,1,0
aastle_fittimer,com.aastle.fittimer,StopWatch,pauseClock,7,2,0
aastle_fittimer,com.aastle.fittimer,StopWatch,resetClock,7,1,0
aastle_fittimer,com.aastle.fittimer,StopWatch,setClockIsNotRunning,4,1,1
aastle_fittimer,com.aastle.fittimer,StopWatch,setClockIsNotRunning,3,1,0
aastle_fittimer,com.aastle.fittimer,StopWatch,time,3,1,0
aastle_fittimer,com.aastle.fittimer,StopWatch,running,3,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,onCreate,72,6,1
aastle_fittimer,com.aastle.fittimer,MainActivity,onClick,18,3,1
aastle_fittimer,com.aastle.fittimer,MainActivity,onClick,15,3,1
aastle_fittimer,com.aastle.fittimer,MainActivity,onChronometerTick,5,2,1
aastle_fittimer,com.aastle.fittimer,MainActivity,onClick,3,1,1
aastle_fittimer,com.aastle.fittimer,MainActivity,onPause,3,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,onResume,3,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,onStop,5,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,onDestroy,3,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getInterval,3,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getSession,3,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,colorThrobber,11,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getDate,5,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getTime,5,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,onCreateOptionsMenu,4,1,1
aastle_fittimer,com.aastle.fittimer,MainActivity,onOptionsItemSelected,11,3,1
aastle_fittimer,com.aastle.fittimer,MainActivity,onBackPressed,5,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,saveTime,7,2,6
aastle_fittimer,com.aastle.fittimer,MainActivity,getStats,4,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getTimeFromSqlite,14,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getLastIntervalFromSqlite,13,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getLastInterval,14,2,1
aastle_fittimer,com.aastle.fittimer,MainActivity,getLastSessionSqlite,13,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,getThisSession,13,2,1
aastle_fittimer,com.aastle.fittimer,MainActivity,buildJodaStats,30,4,1
aastle_fittimer,com.aastle.fittimer,MainActivity,buildAboutInfo,27,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,checkThrobberPref,4,1,0
aastle_fittimer,com.aastle.fittimer,MainActivity,showDialogBox,3,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,DatabaseHelper,19,2,4
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,createDatabase,9,1,0
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,checkDataBase,15,2,0
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,copyDatabase,16,2,0
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,openDatabase,5,1,0
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,getCursorForTable,4,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,insertTime,13,1,6
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,setTableName,3,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,getColumnsArray,3,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,getFilterParams,3,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,getCountOfTableRows,12,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,DeleteAllRowsFromTable,4,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,showAllTables,4,1,0
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,close,4,2,0
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,onCreate,2,1,1
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,onUpgrade,10,3,3
aastle_fittimer,com.aastle.fittimer,SettingsActivity,onCreate,14,2,1
aastle_fittimer,com.aastle.fittimer,SettingsActivity,onPreferenceClick,4,1,1
aastle_fittimer,com.aastle.fittimer,SettingsActivity,launchImagePicker,12,1,0
