Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
aastle_fittimer,com.aastle.fittimer,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
aastle_fittimer,com.aastle.fittimer,DatabaseHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DB_NAME; DB_PATH; TABLE_NAME; NEW_COLUMN; thisDataBase; thisContext; sb; COL_ROW_ID; COL_DATE; COL_TIME; COL_APPSTATE; COL_INTERVAL; COL_SESSION
aastle_fittimer,com.aastle.fittimer,SettingsActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
aastle_fittimer,com.aastle.fittimer,SettingsActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PHOTO_WIDTH; PHOTO_HEIGHT; TAG
