Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.test.service,UsersServiceRepoTest,test,3,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,create,31,4,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,findAllUsers,3,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,findUsersList,6,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,findAll,3,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,findUserExistInApplication,5,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,getAccessRightsMapForUser,16,3,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,changePassword,15,3,3
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,update,14,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,findByUsername,3,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,deleteUser,3,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,delete,15,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,create,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,delete,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,findAll,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,update,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,findByUserId,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,findAllAccessRights,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,findByAccessRight,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,create,11,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,delete,14,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,findAll,4,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,update,18,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,findById,5,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,findAllInSet,4,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,findAccessRightsByAccessRight,4,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,findAccessRights,4,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,create,11,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,delete,14,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,findAll,4,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,findAllInSet,4,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,update,21,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,findByRole,5,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,findById,5,2,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,findRoleByRoleName,4,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,findRoleNamesByUsername,4,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,create,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,findAll,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,findAllUsers,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,findUsersList,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,findUserExistInApplication,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,getAccessRightsMapForUser,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,changePassword,0,1,3
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,update,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,findByUsername,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,deleteUser,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,delete,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,create,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,delete,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,findAll,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,update,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,findById,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,findByRole,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,findRoleByRoleName,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,findAllInSet,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,findRoleNamesByUsername,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,create,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,delete,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,findAll,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,update,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,findById,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,findAllInSet,0,1,0
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,findAccessRightsByAccessRight,0,1,1
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,findAccessRights,0,1,1
