Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
lzh9102_qrcode-desktop,zxinggui,ViewPlainTextWindow,ViewPlainTextWindow,5,1,2
lzh9102_qrcode-desktop,zxinggui,ViewPlainTextWindow,init_widgets,10,2,0
lzh9102_qrcode-desktop,zxinggui,ViewPlainTextWindow,setText,3,1,1
lzh9102_qrcode-desktop,zxinggui,ViewPlainTextWindow,keyPressed,3,2,1
lzh9102_qrcode-desktop,zxinggui,ViewPlainTextWindow,keyTyped,2,1,1
lzh9102_qrcode-desktop,zxinggui,ViewPlainTextWindow,keyReleased,2,1,1
lzh9102_qrcode-desktop,zxinggui,ImageHelper,ImageHelper,2,1,0
lzh9102_qrcode-desktop,zxinggui,ImageHelper,toBufferedImage,11,3,1
lzh9102_qrcode-desktop,zxinggui,ImageHelper,captureScreen,7,1,0
lzh9102_qrcode-desktop,zxinggui,ImageHelper,cropImage,7,1,5
lzh9102_qrcode-desktop,zxinggui,ImageHelper,resizeImage,7,1,3
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,BufferedImageLuminanceSource,3,1,1
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,BufferedImageLuminanceSource,12,2,5
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,getRow,11,3,2
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,getMatrix,8,1,0
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,isCropSupported,3,1,0
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,crop,3,1,4
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,isRotateSupported,3,1,0
lzh9102_qrcode-desktop,zxinggui,BufferedImageLuminanceSource,rotateCounterClockwise,11,1,0
lzh9102_qrcode-desktop,zxinggui,ScreenCaptureListener,screenshotCaptured,0,1,1
lzh9102_qrcode-desktop,zxinggui,ScreenCaptureListener,screenshotCanceled,0,1,0
lzh9102_qrcode-desktop,zxinggui,ScreenCaptureWindow,ScreenCaptureWindow,15,2,1
lzh9102_qrcode-desktop,zxinggui,ScreenCaptureWindow,captureScreen,11,1,0
lzh9102_qrcode-desktop,zxinggui,ScreenCaptureWindow,paint,13,2,1
