Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
lzh9102_qrcode-desktop,zxinggui,ScreenCaptureWindow,Feature Envy,The tool detected a instance of this smell because finishCapture is more interested in members of the type: RectArea
lzh9102_qrcode-desktop,zxinggui,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
lzh9102_qrcode-desktop,zxinggui.generator,ContactGenerator,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 31 methods
lzh9102_qrcode-desktop,zxinggui.generator,GeneratorManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
