Project Name,Package Name,Architecture Smell,Cause of the Smell
rmagen_elastic-gremlin,org.elasticgremlin.structure,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.elasticgremlin.structure; org.elasticgremlin.queryhandler
rmagen_elastic-gremlin,org.elasticgremlin.structure,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.elasticgremlin.structure; org.elasticgremlin.queryhandler; org.elasticgremlin.queryhandler.elasticsearch.edgedoc; org.elasticgremlin.queryhandler.elasticsearch.helpers
rmagen_elastic-gremlin,org.elasticgremlin.structure,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.elasticgremlin.structure; org.elasticgremlin.queryhandler; org.elasticgremlin.queryhandler.elasticsearch.vertexdoc; org.elasticgremlin.queryhandler.elasticsearch.edgedoc; org.elasticgremlin.queryhandler.elasticsearch.helpers
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.elasticgremlin.structure
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.elasticgremlin.queryhandler.elasticsearch.helpers; org.elasticgremlin.structure
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.elasticgremlin.structure
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ElasticHelper]; [ElasticClientFactory; ClientType]; [QueryIterator; TimingAccessor; Timer; LazyGetter; ElasticMutations]. LCC (Lack of Component Cohesion) = 0.38
