Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,ElasticGraphGraphProvider,11,2,0
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,findFreePort,26,2,0
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,getBaseConfiguration,13,1,4
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,clear,8,3,2
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,getImplementations,3,1,0
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,convertId,3,1,2
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,getClient,3,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,ConfigurationTests,startUp,7,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,ConfigurationTests,upsertConfiguration,9,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,PerformanceTests,startUp,5,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,PerformanceTests,profile,17,2,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,PerformanceTests,stopWatch,3,1,1
rmagen_elastic-gremlin,org.elasticgremlin.elastic,PerformanceTests,startWatch,3,1,1
rmagen_elastic-gremlin,org.elasticgremlin.elastic,TemporaryTests,TemporaryTests,3,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,TemporaryTests,g_V_Drop,4,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,TemporaryTests,get_g_VX1X_out_hasIdX2X,4,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,TemporaryTests,check,6,2,1
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,startUp,6,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,24,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,24,1,0
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,buildGeoJsonPolygon,12,2,1
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,createGeoShapeMapping,4,1,2
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphGraphProvider,ModernGraphGraphProvider,2,1,0
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphGraphProvider,newGraphConfiguration,5,1,5
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,init,14,1,2
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,commit,3,1,0
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,edges,3,1,0
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,edges,3,1,1
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,edges,3,1,1
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,edges,3,1,4
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,addEdge,3,1,5
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,vertices,5,1,0
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,vertices,5,1,1
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,vertices,8,2,1
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,vertex,8,2,4
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,addVertex,3,1,3
