Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,ElasticGraphGraphProvider,Long Statement,The length of the statement "final ClusterHealthResponse clusterHealth=client.admin().cluster().prepareHealth().setTimeout(TimeValue.timeValueSeconds(10)).setWaitForGreenStatus().execute().get();" is 166.
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,ElasticGraphGraphProvider,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,findFreePort,Empty catch clause,The method has an empty catch block.
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,findFreePort,Empty catch clause,The method has an empty catch block.
rmagen_elastic-gremlin,org.elasticgremlin,ElasticGraphGraphProvider,findFreePort,Empty catch clause,The method has an empty catch block.
rmagen_elastic-gremlin,org.elasticgremlin.elastic,ConfigurationTests,startUp,Long Statement,The length of the statement "final Configuration configuration=elasticGraphProvider.newGraphConfiguration("testGraph"`this.getClass()`"spatialTests"`config`LoadGraphWith.GraphData.MODERN);" is 159.
rmagen_elastic-gremlin,org.elasticgremlin.elastic,PerformanceTests,startUp,Long Statement,The length of the statement "final Configuration configuration=elasticGraphProvider.newGraphConfiguration("testGraph"`this.getClass()`"performanceTests"`LoadGraphWith.GraphData.MODERN);" is 156.
rmagen_elastic-gremlin,org.elasticgremlin.elastic,PerformanceTests,profile,Magic Number,The method contains a magic number: 10000
rmagen_elastic-gremlin,org.elasticgremlin.elastic,TemporaryTests,g_V_Drop,Magic Number,The method contains a magic number: 27
rmagen_elastic-gremlin,org.elasticgremlin.elastic,TemporaryTests,g_V_Drop,Magic Number,The method contains a magic number: 2l
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,startUp,Long Statement,The length of the statement "final Configuration configuration=elasticGraphProvider.newGraphConfiguration("testGraph"`this.getClass()`"spatialTests"`LoadGraphWith.GraphData.MODERN);" is 152.
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 14
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 12
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 12
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 14
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 14
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,geoPointPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,Magic Number,The method contains a magic number: 8
rmagen_elastic-gremlin,org.elasticgremlin.elastic,SpatialStepTests,polygonToPolygonsIntersectionTest,Magic Number,The method contains a magic number: 10
