Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
eliasbaixas_bamboo,(default package),DelayedHelloWorld,run,4,1,0
eliasbaixas_bamboo,(default package),DelayedHelloWorld,main,5,1,1
eliasbaixas_bamboo,(default package),BadDelayedEcho,run,4,1,0
eliasbaixas_bamboo,(default package),BadDelayedEcho,main,10,2,1
eliasbaixas_bamboo,(default package),HttpGet,run,14,2,1
eliasbaixas_bamboo,(default package),HttpGet,run,15,4,2
eliasbaixas_bamboo,(default package),HttpGet,run,18,4,1
eliasbaixas_bamboo,(default package),HttpGet,main,12,2,1
eliasbaixas_bamboo,(default package),EchoServer,run,14,2,1
eliasbaixas_bamboo,(default package),EchoServer,run,25,4,2
eliasbaixas_bamboo,(default package),EchoServer,run,16,5,2
eliasbaixas_bamboo,(default package),EchoServer,main,13,2,1
eliasbaixas_bamboo,(default package),DelayedEcho,run,4,1,1
eliasbaixas_bamboo,(default package),DelayedEcho,main,9,2,1
eliasbaixas_bamboo,(default package),NewerSimpleStage,init,4,1,1
eliasbaixas_bamboo,(default package),NewerSimpleStage,run,3,1,0
eliasbaixas_bamboo,(default package),BetterDelayedEcho,main,17,2,1
eliasbaixas_bamboo,(default package),BetterDelayedEcho,run,4,1,0
eliasbaixas_bamboo,bamboo,SimpleStage,Payload,3,1,1
eliasbaixas_bamboo,bamboo,SimpleStage,Payload,3,1,1
eliasbaixas_bamboo,bamboo,SimpleStage,serialize,3,1,1
eliasbaixas_bamboo,bamboo,SimpleStage,toString,3,1,0
eliasbaixas_bamboo,bamboo,SimpleStage,SimpleStage,5,1,0
eliasbaixas_bamboo,bamboo,SimpleStage,init,6,2,1
eliasbaixas_bamboo,bamboo,SimpleStage,handleEvent,30,8,1
eliasbaixas_bamboo,bamboo,Payload,Payload,3,1,1
eliasbaixas_bamboo,bamboo,Payload,Payload,3,1,1
eliasbaixas_bamboo,bamboo,Payload,serialize,3,1,1
eliasbaixas_bamboo,bamboo,Payload,toString,3,1,0
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,send_done_cb,0,1,1
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,send,27,6,4
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,recv_msg_cb,0,1,2
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,register_recv_cb,4,2,2
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,select_cb,37,4,2
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,SendState,5,1,3
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,select_cb,150,32,2
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,init,13,3,1
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,handleEvent,3,1,1
eliasbaixas_bamboo,bamboo.transport,SendDoneCb,send_done_cb,0,1,1
eliasbaixas_bamboo,bamboo.transport,RecvMsgCb,recv_msg_cb,0,1,2
eliasbaixas_bamboo,bamboo.transport,ServerSocketCb,select_cb,37,4,2
eliasbaixas_bamboo,bamboo.transport,SendState,SendState,5,1,3
eliasbaixas_bamboo,bamboo.transport,ChannelState,select_cb,150,32,2
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransportTest,timer_cb,7,1,1
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransportTest,send_done_cb,3,1,1
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransportTest,recv_msg_cb,3,1,2
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransportTest,init,14,2,1
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransportTest,handleEvent,3,1,1
eliasbaixas_bamboo,bamboo.transport,SendCb,timer_cb,7,1,1
eliasbaixas_bamboo,bamboo.transport,SendDoneCb,send_done_cb,3,1,1
eliasbaixas_bamboo,bamboo.transport,RecvCb,recv_msg_cb,3,1,2
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,XdrByteBufferDecodingStream,6,2,2
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,XdrByteBufferDecodingStream,3,1,1
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,setXdrData,9,2,2
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,getSenderAddress,3,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,getSenderPort,3,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,beginDecoding,4,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,endDecoding,4,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,close,3,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,xdrDecodeInt,10,2,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,xdrDecodeOpaque,21,4,1
eliasbaixas_bamboo,bamboo.util,XdrByteBufferDecodingStream,xdrDecodeOpaque,16,4,3
eliasbaixas_bamboo,bamboo.util,StreamInputBuffer,StreamInputBuffer,3,1,1
eliasbaixas_bamboo,bamboo.util,StreamInputBuffer,nextByte,9,1,0
eliasbaixas_bamboo,bamboo.util,StreamInputBuffer,nextBytes,8,1,3
eliasbaixas_bamboo,bamboo.util,StreamInputBuffer,nextBytes,3,1,1
eliasbaixas_bamboo,bamboo.util,StreamInputBuffer,skipBytes,8,1,1
eliasbaixas_bamboo,bamboo.util,StreamInputBuffer,subBuffer,3,1,1
eliasbaixas_bamboo,bamboo.util,StreamInputBuffer,error,4,2,1
eliasbaixas_bamboo,bamboo.util,XdrClone,xdr_clone,15,1,2
eliasbaixas_bamboo,bamboo.util,XdrClone,main,7,1,1
eliasbaixas_bamboo,bamboo.util,Pair,Pair,4,1,2
eliasbaixas_bamboo,bamboo.util,Pair,create,3,1,2
eliasbaixas_bamboo,bamboo.util,Pair,hashCode,6,4,0
eliasbaixas_bamboo,bamboo.util,Pair,equals,7,4,1
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,XdrByteBufferEncodingStream,8,2,1
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,XdrByteBufferEncodingStream,8,2,1
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,getXdrLength,3,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,getXdrData,3,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,beginEncoding,3,1,2
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,endEncoding,2,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,close,3,1,0
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,xdrEncodeInt,9,2,1
eliasbaixas_bamboo,bamboo.util,XdrByteBufferEncodingStream,xdrEncodeOpaque,14,3,3
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,1
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,6
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,7
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,8
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,9
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,10
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,0
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,1
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,6
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,7
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,8
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,9
eliasbaixas_bamboo,bamboo.util,Curry,run,0,1,10
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,2
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,2
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,3
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,6
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,2
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,3
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,4
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,7
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,6
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,2
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,3
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,4
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,5
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,8
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,7
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,6
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,2
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,3
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,4
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,5
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,6
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,9
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,8
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,7
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,2
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,6
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,3
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,4
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,5
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,6
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,7
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,10
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,9
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,8
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,2
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,7
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,3
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,6
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,4
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,5
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,5
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,4
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,6
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,3
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,7
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,2
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,8
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,11
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,0
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,10
eliasbaixas_bamboo,bamboo.util,Curry,run,3,1,1
eliasbaixas_bamboo,bamboo.util,Curry,curry,8,1,9
