Project Name,Package Name,Architecture Smell,Cause of the Smell
eliasbaixas_bamboo,bamboo.www,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.www; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.www,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.www; bamboo.api; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.www,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.www; bamboo.router; bamboo.lss; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.www,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WebAppender; WebInterface; MyReqProc; PingHandler; ConnState]; [CoordinateAlarmCb]. LCC (Lack of Component Cohesion) = 0.33
eliasbaixas_bamboo,bamboo.dmgr,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.dmgr; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.dmgr,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.dmgr; bamboo.db; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.dmgr,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.dmgr; bamboo.db; bamboo.lss; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.openhash.redir,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): bamboo.dht
eliasbaixas_bamboo,bamboo.db,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 56
eliasbaixas_bamboo,bamboo.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.db; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.db; bamboo.lss; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.db; bamboo.lss; bamboo.util; bamboo.dht; bamboo.www
eliasbaixas_bamboo,bamboo.db,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Load; StorageManager; StorageMonitor; AddMonitor; RemoveMonitor; Key; PutReq; PutResp; GetByKeyReq; GetByKeyResp; GetByGuidReq; GetByGuidResp; GetByGuidCont; GetByTimeReq; GetByTimeResp; GetByTimeCont; DiscardReq; IterateByGuidReq; IterateByGuidResp; IterateByGuidCont; IBGCont; GBGCont; GBTCont; Alarm; SyncAlarm; ShutdownHook; EnqueueEvent; OldStorageManager; AddMonitor; RemoveMonitor; Key; PutReq; PutResp; GetByKeyReq; GetByKeyResp; GetByGuidReq; GetByGuidResp; DiscardReq; IterateByGuidResp; GBGCont; StorageManagerTest; StorageConverter; Dump]; [RecoverFatal]; [StorageMonitor]; [GetByGuidCont]; [GetByTimeReq]; [GetByTimeResp]; [GetByTimeCont]; [IterateByGuidReq]; [IterateByGuidCont]; [IBGCont]; [GBTCont]; [Alarm]; [SyncAlarm]; [EnqueueEvent]. LCC (Lack of Component Cohesion) = 0.25
eliasbaixas_bamboo,bamboo.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.api; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.api; bamboo.util; bamboo.dht; bamboo.router
eliasbaixas_bamboo,bamboo.api,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BambooLeafSetChanged; BambooNeighborInfo; BambooRoutingTableChanged; BambooReverseRoutingTableChanged]; [BambooAddToLocationCache]; [BambooRouteUpcall; BambooRouteContinue]; [BambooRouteInit]; [BambooRouterAppRegReq]; [BambooRouteDeliver]; [BambooRouterAppRegResp]. LCC (Lack of Component Cohesion) = 0.64
eliasbaixas_bamboo,bamboo.vivaldi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.vivaldi; bamboo.router
eliasbaixas_bamboo,bamboo.vivaldi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.vivaldi; bamboo.router; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.vivaldi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.vivaldi; bamboo.router; bamboo.lss; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.vivaldi,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): bamboo.router
eliasbaixas_bamboo,bamboo.sim,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.sim; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.sim,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.sim; bamboo.lss; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.lss,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
eliasbaixas_bamboo,bamboo.lss,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.lss; bamboo.util
eliasbaixas_bamboo,bamboo.router,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46
eliasbaixas_bamboo,bamboo.router,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.router; bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.router,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.router; bamboo.vivaldi; bamboo.api; bamboo.util; bamboo.dht
