Project Name,Package Name,Architecture Smell,Cause of the Smell
eliasbaixas_bamboo,(default package),Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DelayedHelloWorld]; [BadDelayedEcho]; [HttpGet]; [EchoServer]; [DelayedEcho]; [NewerSimpleStage]; [BetterDelayedEcho]. LCC (Lack of Component Cohesion) = 1.0
eliasbaixas_bamboo,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.55. All the dependencies among components: from: (default package) to: bamboo.lss; from: (default package) to: bamboo.util; from: (default package) to: bamboo.router; from: bamboo.transport to: bamboo.lss; from: bamboo.util to: bamboo.dht; from: bamboo.util to: bamboo.lss; from: bamboo.softscribe to: bamboo.util; from: bamboo.softscribe to: bamboo.api; from: bamboo.dht to: bamboo.util; from: bamboo.dht to: bamboo.lss; from: bamboo.dht to: bamboo.router; from: bamboo.dht to: bamboo.sim; from: bamboo.dht to: bamboo.www; from: bamboo.dht to: bamboo.db; from: bamboo.dht to: bamboo.vivaldi; from: bamboo.dht to: bamboo.api; from: bamboo.dht to: bamboo.dmgr; from: bamboo.dht.fssim to: bamboo.dht; from: bamboo.dht.fssim to: bamboo.lss; from: bamboo.dht.fssim to: bamboo.fst; from: bamboo.www to: bamboo.api; from: bamboo.www to: bamboo.router; from: bamboo.www to: bamboo.vivaldi; from: bamboo.www to: bamboo.lss; from: bamboo.www to: bamboo.util; from: bamboo.www to: bamboo.db; from: bamboo.vis to: bamboo.router; from: bamboo.vis to: bamboo.lss; from: bamboo.vis to: bamboo.util; from: bamboo.dmgr to: bamboo.db; from: bamboo.dmgr to: bamboo.util; from: bamboo.dmgr to: bamboo.api; from: bamboo.dmgr to: bamboo.lss; from: bamboo.dmgr to: bamboo.router; from: bamboo.openhash.multicast to: bamboo.lss; from: bamboo.openhash.multicast to: bamboo.util; from: bamboo.openhash.multicast to: bamboo.dht; from: bamboo.openhash.redir to: bamboo.dht; from: bamboo.openhash.redir to: bamboo.lss; from: bamboo.openhash.redir to: bamboo.util; from: bamboo.openhash.fileshare to: bamboo.util; from: bamboo.openhash.fileshare to: bamboo.lss; from: bamboo.openhash.i3 to: bamboo.openhash.redir; from: bamboo.openhash.i3 to: bamboo.lss; from: bamboo.openhash.i3 to: bamboo.util; from: bamboo.db to: bamboo.lss; from: bamboo.db to: bamboo.util; from: bamboo.api to: bamboo.util; from: bamboo.vivaldi to: bamboo.router; from: bamboo.vivaldi to: bamboo.api; from: bamboo.sim to: bamboo.lss; from: bamboo.sim to: bamboo.util; from: bamboo.fst to: bamboo.util; from: bamboo.fst to: bamboo.lss; from: bamboo.lss to: bamboo.util; from: bamboo.router to: bamboo.vivaldi; from: bamboo.router to: bamboo.lss; from: bamboo.router to: bamboo.util; from: bamboo.router to: bamboo.api; from: bamboo.router.test to: bamboo.api; from: bamboo.router.test to: bamboo.util.
eliasbaixas_bamboo,bamboo.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43
eliasbaixas_bamboo,bamboo.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.util; bamboo.dht
eliasbaixas_bamboo,bamboo.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.util; bamboo.dht; bamboo.lss
eliasbaixas_bamboo,bamboo.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: bamboo.util; bamboo.dht; bamboo.router; bamboo.lss
eliasbaixas_bamboo,bamboo.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): bamboo.dht; bamboo.lss
eliasbaixas_bamboo,bamboo.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [XdrByteBufferDecodingStream; XdrClone; XdrByteBufferEncodingStream]; [StreamInputBuffer]; [Pair]; [Curry; Thunk1; Thunk2; Thunk3; Thunk4; Thunk5; Thunk6; Thunk7; Thunk8; Thunk9; Thunk10; Function0; Function1; Function2; Function3; Function4; Function5; Function6; Function7; Function8; Function9; Function10; Oasis; StandardStage; GetTimeOfDayCC]; [StringUtil]; [USecTimer]; [Certificate; InvalidException]; [PriorityQueue]; [MultipleByteBufferInputStream]; [StreamOutputBuffer]; [GuidTools]; [XdrInputBufferDecodingStream]; [RandomUtil]; [LruMap; Node; MyIterator]. LCC (Lack of Component Cohesion) = 0.33
eliasbaixas_bamboo,bamboo.dht,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
eliasbaixas_bamboo,bamboo.dht,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): bamboo.www; bamboo.dmgr
