Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
eliasbaixas_bamboo,(default package),DelayedHelloWorld,1,1,2,2,14,2,0,0,1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/DelayedHelloWorld.java
eliasbaixas_bamboo,(default package),BadDelayedEcho,2,2,2,2,20,3,0,0,0.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/BadDelayedEcho.java
eliasbaixas_bamboo,(default package),HttpGet,4,4,4,4,71,12,0,0,0.5,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/HttpGet.java
eliasbaixas_bamboo,(default package),EchoServer,4,4,4,4,80,13,0,0,0.0,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/EchoServer.java
eliasbaixas_bamboo,(default package),DelayedEcho,1,1,2,2,18,3,0,0,1.0,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/DelayedEcho.java
eliasbaixas_bamboo,(default package),NewerSimpleStage,2,0,2,2,13,2,0,0,1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/NewerSimpleStage.java
eliasbaixas_bamboo,(default package),BetterDelayedEcho,0,0,2,2,19,3,0,0,-1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/BetterDelayedEcho.java
eliasbaixas_bamboo,bamboo,SimpleStage,5,1,7,7,73,15,0,0,0.42857142857142855,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/bamboo/SimpleStage.java
eliasbaixas_bamboo,bamboo,Payload,1,1,4,4,15,4,0,0,0.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/bamboo/SimpleStage.java
eliasbaixas_bamboo,bamboo,Alarm,0,0,0,0,5,0,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/examples/bamboo/SimpleStage.java
eliasbaixas_bamboo,bamboo.transport,TcpMessageTransport,17,12,9,7,275,51,2,0,0.2222222222222222,3,8,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/src/bamboo/transport/TcpMessageTransport.java
eliasbaixas_bamboo,bamboo.transport,SendDoneCb,0,0,1,0,3,1,0,0,-1.0,4,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/src/bamboo/transport/TcpMessageTransport.java
eliasbaixas_bamboo,bamboo.transport,RecvMsgCb,0,0,1,0,3,1,0,0,-1.0,2,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/src/bamboo/transport/TcpMessageTransport.java
eliasbaixas_bamboo,bamboo.transport,ServerSocketCb,0,0,1,1,39,4,0,0,-1.0,1,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/src/bamboo/transport/TcpMessageTransport.java
eliasbaixas_bamboo,bamboo.transport,SendState,3,3,1,1,10,1,0,0,0.0,2,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/eliasbaixas_bamboo/src/bamboo/transport/TcpMessageTransport.java
