Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
airminer_MokaPot,airminer.mokapot.testplugin,MokaPotTestPlugin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
airminer_MokaPot,airminer.mokapot,MokaPot,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: server; commandMap; pluginManager; out; err
airminer_MokaPot,airminer.mokapot,LoggerOutputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
airminer_MokaPot,airminer.mokapot,MokaPotServer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 96 public methods
airminer_MokaPot,airminer.mokapot,LuaHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
airminer_MokaPot,airminer.mokapot,LuaStateRegistry,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance; setLuaState
airminer_MokaPot,airminer.mokapot,LuaStateRegistry,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SetLuaState; LuaStateRegistry
