Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,onCreate,23,1,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,onBleEvent,4,1,2
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,shouldStartScan,3,1,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,onActivityCreated,2,1,2
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,onActivityStarted,2,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,onActivityStopped,2,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,onActivitySaveInstanceState,2,1,2
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,onActivityDestroyed,2,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleSdkScanActivity,onCreate,7,2,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,BleScanFragment,2,1,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onCreate,4,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onAttach,19,2,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onScanResult,8,2,2
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onScanFailed,3,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onDetach,6,2,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onCreateView,26,3,3
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onClick,15,3,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onResume,6,2,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onRequestPermissionsResult,18,3,3
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onClick,3,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onCreate,8,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onResume,6,2,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onRequestPermissionsResult,18,3,3
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onClick,3,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onScanStarted,2,1,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onScanStopped,2,1,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onEnterRegion,3,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onLeaveRegion,3,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,BleScanResultAdapter,4,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,getCount,3,1,0
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,getItem,3,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,getItemId,3,1,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,getView,10,2,3
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,addItem,6,2,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,removeItem,6,2,1
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,clear,4,1,0
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,BleAdvertiserProvider,getAdvertiser,6,2,1
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,BleAdvertiserProvider,createInstance,9,3,1
