Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,1,0,8,7,29,8,0,0,0.875,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/example_app/src/main/java/com/reelyactive/blescanner/ReelyAwareApplication.java
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleSdkScanActivity,1,0,1,0,10,2,0,0,0.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/example_app/src/main/java/com/reelyactive/blescanner/BleSdkScanActivity.java
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,8,0,11,11,91,21,0,0,0.36363636363636365,1,6,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/example_app/src/main/java/com/reelyactive/blescanner/BleScanFragment.java
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,4,0,8,7,51,11,0,0,0.375,1,3,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/example_app/src/main/java/com/reelyactive/blescanner/ReelyAwareScanActivity.java
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanResultAdapter,2,0,8,8,43,11,0,0,0.25,2,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/example_app/src/main/java/com/reelyactive/blescanner/BleScanResultAdapter.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,BleAdvertiserProvider,1,0,2,1,21,5,0,0,0.0,1,4,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/advertise/BleAdvertiserProvider.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,DummyBleAdvertiser,8,1,12,9,162,22,0,1,0.3333333333333333,1,5,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/advertise/DummyBleAdvertiser.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,Worker,1,1,3,3,12,3,0,0,0.6666666666666666,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/advertise/DummyBleAdvertiser.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,AdvertisingRunnable,0,0,1,1,8,2,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/advertise/DummyBleAdvertiser.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,LBleAdvertiser,3,0,5,5,31,5,0,1,0.6,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/advertise/LBleAdvertiser.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,BleAdvertiser,0,0,5,5,15,5,2,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/advertise/BleAdvertiser.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,BluetoothUuid,24,24,21,21,218,42,0,0,0.9047619047619048,3,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/BluetoothUuid.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,JbBluetoothLeScannerCompat,10,0,17,5,231,37,0,1,0.0,1,9,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/JbBluetoothLeScannerCompat.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanClient,4,0,1,0,15,1,0,0,0.0,2,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/JbBluetoothLeScannerCompat.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,Objects,0,0,4,4,17,4,0,0,-1.0,2,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/Objects.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,Utils,0,0,2,0,48,9,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/Utils.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanWakefulService,1,1,2,1,24,4,0,0,1.0,4,4,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/ScanWakefulService.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,BluetoothCrashResolver,23,0,27,16,355,87,0,0,0.18518518518518517,1,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/BluetoothCrashResolver.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,UpdateNotifier,0,0,1,1,3,1,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/BluetoothCrashResolver.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,DiscoveryCanceller,0,0,4,0,28,9,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/BluetoothCrashResolver.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanCallback,4,4,4,4,43,4,0,0,1.0,7,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/ScanCallback.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,LBluetoothLeScannerCompat,6,0,22,5,234,49,0,1,0.2727272727272727,2,10,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/LBluetoothLeScannerCompat.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanClient,3,0,3,2,37,6,0,0,0.0,0,4,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/LBluetoothLeScannerCompat.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanWakefulBroadcastReceiver,0,0,1,1,10,1,0,0,-1.0,1,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/ScanWakefulBroadcastReceiver.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,BluetoothLeScannerCompat,15,0,22,6,190,38,3,0,0.2727272727272727,5,6,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/BluetoothLeScannerCompat.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,BluetoothLeScannerCompatProvider,1,0,4,2,49,10,0,0,0.5,4,5,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/BluetoothLeScannerCompatProvider.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanFilter,21,1,31,27,399,84,0,0,0.12903225806451613,5,5,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/ScanFilter.java
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,Builder,10,0,9,9,129,21,0,0,0.0,1,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/reelyactive_ble-android-sdk/library/src/main/java/com/reelyactive/blesdk/support/ble/ScanFilter.java
