Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleSdkScanActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,DummyBleAdvertiser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: context; worker; runnable; uuid; closestBeacon; advertising; url; mHandler
reelyactive_ble-android-sdk,com.reelyactive.blesdk.advertise,Worker,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mHandler
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,BluetoothUuid,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.9047619047619048
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,BluetoothUuid,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AudioSink; AudioSource; AdvAudioDist; HSP; HSP_AG; Handsfree; Handsfree_AG; AvrcpController; AvrcpTarget; ObexObjectPush; Hid; Hogp; PANU; NAP; BNEP; PBAP_PSE; MAP; MNS; MAS; BASE_UUID; UUID_BYTES_16_BIT; UUID_BYTES_32_BIT; UUID_BYTES_128_BIT; RESERVED_UUIDS
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,BluetoothUuid,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,JbBluetoothLeScannerCompat,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LBluetoothLeScannerCompat; ScanWakefulService; BluetoothLeScannerCompatProvider; JbBluetoothLeScannerCompat; NoBluetoothLeScannerCompat; ScanWakefulBroadcastReceiver
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanWakefulService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_USE_LOLLIPOP_API
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanCallback,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SCAN_FAILED_ALREADY_STARTED; SCAN_FAILED_APPLICATION_REGISTRATION_FAILED; SCAN_FAILED_INTERNAL_ERROR; SCAN_FAILED_FEATURE_UNSUPPORTED
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanClient,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mDeviceName; mDeviceAddress; mServiceUuid; mServiceUuidMask; mServiceDataUuid; mServiceData; mServiceDataMask; mManufacturerId; mManufacturerData; mManufacturerDataMask; CREATOR; mDeviceName; mDeviceAddress; mServiceUuid; mUuidMask; mServiceDataUuid; mServiceData; mServiceDataMask; mManufacturerId; mManufacturerData; mManufacturerDataMask
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanFilter,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Builder; ScanFilter
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanFilter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanSettings,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SCAN_MODE_LOW_POWER; SCAN_MODE_BALANCED; SCAN_MODE_LOW_LATENCY; CALLBACK_TYPE_ALL_MATCHES; CALLBACK_TYPE_FIRST_MATCH; CALLBACK_TYPE_MATCH_LOST; SCAN_RESULT_TYPE_FULL; SCAN_RESULT_TYPE_ABBREVIATED; mScanMode; mCallbackType; mScanResultType; mReportDelayMillis; CREATOR; mScanMode; mCallbackType; mScanResultType; mReportDelayMillis
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble,ScanResult,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mDevice; mScanRecord; mRssi; mTimestampNanos; CREATOR
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble.util,Logger,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble.util,SystemClock,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble.util,BluetoothInterface,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PREF_NAME; MAC_PREF; address; type
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble.util,MacAddress,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: address; type
reelyactive_ble-android-sdk,com.reelyactive.blesdk.support.ble.util,MacAddress,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: address; type
reelyactive_ble-android-sdk,com.reelyactive.blesdk.application,ReelyAwareActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reelyactive_ble-android-sdk,com.reelyactive.blesdk.application,ReelyAwareApplicationCallback,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ReelyAwareApplicationCallback; BleServiceConnection
reelyactive_ble-android-sdk,com.reelyactive.blesdk.service,BleServiceCallback,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BleService; BleServiceCallback
reelyactive_ble-android-sdk,com.reelyactive.blesdk.service,BleService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEY_FILTER; KEY_EVENT_DATA; callback; lowPowerScan; higPowerScan; binder; mClients; scanner; currentSettings; nextSettings; currentFilter; nextFilter; allValues; allValues
reelyactive_ble-android-sdk,com.reelyactive.blesdk.service,LocalBinder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
