Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onCreateView,Long Statement,The length of the statement "scanner.startScan(Arrays.asList(new ScanFilter.Builder().setServiceUuid(ParcelUuid.fromString("7265656c-7941-6374-6976-652055554944")).build())`new ScanSettings.Builder().setCallbackType(ScanSettings.CALLBACK_TYPE_FIRST_MATCH | ScanSettings.CALLBACK_TYPE_MATCH_LOST).setScanMode(ScanSettings.SCAN_MODE_LOW_LATENCY).setScanResultType(ScanSettings.SCAN_RESULT_TYPE_FULL).build()`scanCallback);" is 391.
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onClick,Long Statement,The length of the statement "scanner.startScan(Arrays.asList(new ScanFilter.Builder().setServiceUuid(ParcelUuid.fromString("7265656c-7941-6374-6976-652055554944")).build())`new ScanSettings.Builder().setCallbackType(ScanSettings.CALLBACK_TYPE_FIRST_MATCH | ScanSettings.CALLBACK_TYPE_MATCH_LOST).setScanMode(ScanSettings.SCAN_MODE_LOW_LATENCY).setScanResultType(ScanSettings.SCAN_RESULT_TYPE_FULL).build()`scanCallback);" is 391.
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onResume,Long Statement,The length of the statement "if (!permissionChecked && ActivityCompat.checkSelfPermission(getContext()`Manifest.permission.ACCESS_COARSE_LOCATION) != PackageManager.PERMISSION_GRANTED) {" is 157.
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onRequestPermissionsResult,Long Statement,The length of the statement "Snackbar.make((View)list.getParent()`R.string.location_permission`Snackbar.LENGTH_INDEFINITE).setAction(R.string.ok`new View.OnClickListener(){" is 143.
reelyactive_ble-android-sdk,com.reelyactive.blescanner,BleScanFragment,onRequestPermissionsResult,Missing default,The following switch statement is missing a default case: switch (requestCode) {
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onResume,Long Statement,The length of the statement "if (!permissionChecked && ActivityCompat.checkSelfPermission(this`Manifest.permission.ACCESS_COARSE_LOCATION) != PackageManager.PERMISSION_GRANTED) {" is 149.
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onRequestPermissionsResult,Long Statement,The length of the statement "Snackbar.make((View)list.getParent()`R.string.location_permission`Snackbar.LENGTH_INDEFINITE).setAction(R.string.ok`new View.OnClickListener(){" is 143.
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onRequestPermissionsResult,Long Statement,The length of the statement "ActivityCompat.requestPermissions(ReelyAwareScanActivity.this`new String[]{Manifest.permission.ACCESS_COARSE_LOCATION}`REQUEST_CODE_LOCATION);" is 142.
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onRequestPermissionsResult,Missing default,The following switch statement is missing a default case: switch (requestCode) {
reelyactive_ble-android-sdk,com.reelyactive.blescanner,ReelyAwareScanActivity,onClick,Long Statement,The length of the statement "ActivityCompat.requestPermissions(ReelyAwareScanActivity.this`new String[]{Manifest.permission.ACCESS_COARSE_LOCATION}`REQUEST_CODE_LOCATION);" is 142.
